year,GEOID,NAME,state,county,tract,total_units_b25024,units_1_detached,units_1_attached,units_2,units_3_4,units_5_9,units_10_19,units_20_49,units_50_plus,mobile_home,boat_rv_van,total_housing_units,total_units_b25002,occupied_units,vacant_units,tenure_total,owner_occupied,renter_occupied,pop_in_occupied_total,pop_in_owner_occupied,pop_in_renter_occupied,median_income_all_occupied,median_income_owner_occupied,median_income_renter_occupied,units_by_tenure_total,owner_units_total,owner_1_detached,owner_1_attached,owner_2,owner_3_4,owner_5_9,owner_10_19,owner_20_49,owner_50_plus,owner_mobile_home,owner_boat_rv_van,renter_units_total,renter_1_detached,renter_1_attached,renter_2,renter_3_4,renter_5_9,renter_10_19,renter_20_49,renter_50_plus,renter_mobile_home,renter_boat_rv_van,median_owner_costs_total,median_owner_costs_with_mortgage,median_owner_costs_no_mortgage,median_household_income,single_family_units,pct_single_family,pct_vacant,pct_occupied,pct_renter_occupied,pct_owner_occupied,renter_single_family,pct_sf_renter_occupied,owner_renter_income_gap
2009,49035101800,"Census Tract 1018, Salt Lake County, Utah",49,035,101800,1619,512,36,252,188,181,165,123,133,29,0,1619,1619,1494,125,1494,521,973,2867,1010,1857,34410.0,48831.0,31513.0,1494,521,337,22,30,29,10,43,7,43,0,0,973,142,14,192,159,141,90,116,90,29,0,1078.0,1297.0,373.0,34410.0,548,0.3384805435453984,0.07720815318097592,0.922791846819024,0.6512717536813922,0.34872824631860777,156,0.2846715328467153,17318.0
2009,49035101900,"Census Tract 1019, Salt Lake County, Utah",49,035,101900,1575,33,0,38,98,251,240,491,424,0,0,1575,1575,1449,126,1449,142,1307,1940,210,1730,24238.0,58269.0,22715.0,1449,142,17,0,0,11,0,7,45,62,0,0,1307,16,0,38,87,216,180,408,362,0,0,722.0,1089.0,565.0,24238.0,33,0.02095238095238095,0.08,0.92,0.9020013802622499,0.09799861973775018,16,0.48484848484848486,35554.0
2009,49035102000,"Census Tract 1020, Salt Lake County, Utah",49,035,102000,1461,453,56,79,94,102,136,282,259,0,0,1461,1461,1304,157,1304,366,938,2411,933,1478,25781.0,59737.0,15795.0,1304,366,319,28,19,0,0,0,0,0,0,0,938,107,28,60,94,85,110,227,227,0,0,965.0,1006.0,191.0,25781.0,509,0.3483915126625599,0.10746064339493498,0.892539356605065,0.7193251533742331,0.28067484662576686,135,0.26522593320235754,43942.0
2009,49035102100,"Census Tract 1021, Salt Lake County, Utah",49,035,102100,961,0,0,11,0,119,137,493,201,0,0,961,961,829,132,829,39,790,1248,52,1196,17917.0,61563.0,16121.0,829,39,0,0,0,0,12,0,27,0,0,0,790,0,0,0,0,80,137,393,180,0,0,1406.0,1406.0,,17917.0,0,0.0,0.13735691987513007,0.8626430801248699,0.9529553679131484,0.047044632086851626,0,,45442.0
2009,49035102200,"Census Tract 1022, Salt Lake County, Utah",49,035,102200,637,0,17,0,0,0,58,72,490,0,0,637,637,363,274,363,191,172,477,285,192,47171.0,71528.0,11563.0,363,191,0,17,0,0,0,0,11,163,0,0,172,0,0,0,0,0,33,61,78,0,0,1299.0,1397.0,631.0,47171.0,17,0.026687598116169546,0.4301412872841444,0.5698587127158555,0.4738292011019284,0.5261707988980716,0,0.0,59965.0
2009,49035102300,"Census Tract 1023, Salt Lake County, Utah",49,035,102300,1589,103,62,39,116,46,123,439,661,0,0,1589,1589,1505,84,1505,373,1132,2965,1011,1954,21732.0,46479.0,14167.0,1505,373,103,29,0,0,23,19,83,116,0,0,1132,0,33,39,116,23,104,292,525,0,0,954.0,981.0,405.0,21732.0,165,0.10383889238514789,0.05286343612334802,0.947136563876652,0.7521594684385382,0.2478405315614618,33,0.2,32312.0
2009,49035102400,"Census Tract 1024, Salt Lake County, Utah",49,035,102400,272,100,10,17,32,17,34,28,34,0,0,272,272,193,79,193,27,166,463,129,334,30972.0,32125.0,30294.0,193,27,17,10,0,0,0,0,0,0,0,0,166,45,0,0,32,17,10,28,34,0,0,370.0,,250.0,30972.0,110,0.40441176470588236,0.29044117647058826,0.7095588235294118,0.8601036269430051,0.13989637305699482,45,0.4090909090909091,1831.0
2009,49035102500,"Census Tract 1025, Salt Lake County, Utah",49,035,102500,1591,0,0,0,0,73,41,352,1125,0,0,1591,1591,1241,350,1241,144,1097,2021,190,1831,29784.0,68889.0,24635.0,1241,144,0,0,0,0,9,8,99,28,0,0,1097,0,0,0,0,64,33,158,842,0,0,1109.0,1122.0,,29784.0,0,0.0,0.21998742928975487,0.7800125707102451,0.8839645447219984,0.11603545527800162,0,,44254.0
2009,49035102600,"Census Tract 1026, Salt Lake County, Utah",49,035,102600,1342,1033,60,34,150,30,0,30,5,0,0,1342,1342,1204,138,1204,695,509,4041,2608,1433,37604.0,47835.0,21172.0,1204,695,643,26,0,26,0,0,0,0,0,0,509,277,34,34,99,30,0,30,5,0,0,983.0,1104.0,281.0,37604.0,1093,0.8144560357675111,0.10283159463487332,0.8971684053651267,0.4227574750830565,0.5772425249169435,311,0.2845379688929552,26663.0
2009,49035102700,"Census Tract 1027, Salt Lake County, Utah",49,035,102700,2708,1284,57,158,229,218,304,149,55,254,0,2708,2708,2490,218,2490,1253,1237,8850,4197,4653,34005.0,43346.0,26238.0,2490,1253,939,24,10,0,28,38,12,0,202,0,1237,292,33,89,192,190,233,127,55,26,0,933.0,1064.0,299.0,34005.0,1341,0.4951994091580502,0.08050221565731167,0.9194977843426884,0.4967871485943775,0.5032128514056224,325,0.24235645041014167,17108.0
